Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey"
Bachelor of Engineering with Honours in Mechanical Design Engineering,University of Glasgow,0.923,"$3,424","$3,250","$2,950","$3,556",SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Mechanical Design Engineering | SIT 2014
Bachelor of Engineering with Honours in Mechatronics,University of Glasgow,0.873,"$3,209","$3,100","$2,964","$3,443",SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Mechatronics | SIT 2014
Bachelor of Science with Honours in Nursing Practice,University of Manchester,0.944,"$3,464","$3,511","$3,115","$3,860",SIT,2014,No,SIT GES 2014,Bachelor of Science with Honours in Nursing Practice | SIT 2014
Bachelor of Science (Major in Hospitality Management),"University of Nevada, Las Vegas",0.780,"$2,634","$2,500","$2,300","$2,900",SIT,2014,No,SIT GES 2014,Bachelor of Science (Major in Hospitality Management) | SIT 2014
Bachelor of Science in Early Childhood Education,Wheelock College,0.971,"$2,553","$2,600","$2,475","$2,613",SIT,2014,No,SIT GES 2014,Bachelor of Science in Early Childhood Education | SIT 2014
Accountancy,Nanyang Business School,0.951,"$3,063","$2,900","$2,900","$3,100",NTU,2016,No,NTU GES 2016,Accountancy | NTU 2016
Accountancy & Business,Nanyang Business School,0.966,"$3,893","$3,500","$3,100","$4,250",NTU,2016,No,NTU GES 2016,Accountancy & Business | NTU 2016
Business,Nanyang Business School,0.771,"$3,444","$3,300","$3,000","$3,800",NTU,2016,No,NTU GES 2016,Business | NTU 2016
Aerospace Engineering,College of Engineering,0.779,"$3,840","$3,675","$3,350","$4,435",NTU,2016,No,NTU GES 2016,Aerospace Engineering | NTU 2016
Aerospace Engineering & Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2016,Suppressed,NTU GES 2016,Aerospace Engineering & Economics | NTU 2016
Bioengineering,College of Engineering,0.639,"$3,317","$3,237","$3,000","$3,510",NTU,2016,No,NTU GES 2016,Bioengineering | NTU 2016
Business & Computer Engineering,College of Engineering,0.000,$0,$0,$0,$0,NTU,2016,Suppressed,NTU GES 2016,Business & Computer Engineering | NTU 2016
Business & Computing,College of Engineering,0.944,"$4,407","$4,600","$3,800","$5,000",NTU,2016,No,NTU GES 2016,Business & Computing | NTU 2016
Chemical & Biomolecular Engineering,College of Engineering,0.726,"$3,476","$3,400","$3,200","$3,800",NTU,2016,No,NTU GES 2016,Chemical & Biomolecular Engineering | NTU 2016
Civil Engineering,College of Engineering,0.916,"$3,505","$3,300","$3,200","$3,800",NTU,2016,No,NTU GES 2016,Civil Engineering | NTU 2016
Computer Engineering,College of Engineering,0.759,"$3,833","$3,500","$3,300","$4,420",NTU,2016,No,NTU GES 2016,Computer Engineering | NTU 2016
Computer Science,College of Engineering,0.914,"$3,848","$3,500","$3,300","$4,333",NTU,2016,No,NTU GES 2016,Computer Science | NTU 2016
Electrical & Electronic Engineering,College of Engineering,0.836,"$3,517","$3,400","$3,190","$3,800",NTU,2016,No,NTU GES 2016,Electrical & Electronic Engineering | NTU 2016
Environmental Engineering,College of Engineering,0.742,"$3,216","$3,100","$2,800","$3,400",NTU,2016,No,NTU GES 2016,Environmental Engineering | NTU 2016
Information Engineering & Media,College of Engineering,0.875,"$3,570","$3,350","$3,000","$4,000",NTU,2016,No,NTU GES 2016,Information Engineering & Media | NTU 2016
Maritime Studies,College of Engineering,0.885,"$3,328","$3,398","$3,083","$3,500",NTU,2016,No,NTU GES 2016,Maritime Studies | NTU 2016
Materials Engineering,College of Engineering,0.735,"$3,317","$3,300","$3,000","$3,500",NTU,2016,No,NTU GES 2016,Materials Engineering | NTU 2016
Materials Engineering & Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2016,Suppressed,NTU GES 2016,Materials Engineering & Economics | NTU 2016
Mechanical Engineering,College of Engineering,0.799,"$3,505","$3,350","$3,050","$3,959",NTU,2016,No,NTU GES 2016,Mechanical Engineering | NTU 2016
Mechanical Engineering & Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2016,Suppressed,NTU GES 2016,Mechanical Engineering & Economics | NTU 2016
"Art, Design & Media","College of Humanities, Arts, & Social Sciences",0.466,"$2,761","$2,700","$2,500","$3,000",NTU,2016,No,NTU GES 2016,"Art, Design & Media | NTU 2016"
Chinese,"College of Humanities, Arts, & Social Sciences",0.747,"$3,345","$3,300","$3,050","$3,500",NTU,2016,No,NTU GES 2016,Chinese | NTU 2016
Communication Studies,"College of Humanities, Arts, & Social Sciences",0.696,"$2,996","$3,000","$2,575","$3,365",NTU,2016,No,NTU GES 2016,Communication Studies | NTU 2016
Economics,"College of Humanities, Arts, & Social Sciences",0.793,"$3,440","$3,300","$3,000","$3,850",NTU,2016,No,NTU GES 2016,Economics | NTU 2016
English,"College of Humanities, Arts, & Social Sciences",0.542,"$2,997","$3,000","$2,700","$3,400",NTU,2016,No,NTU GES 2016,English | NTU 2016
History,"College of Humanities, Arts, & Social Sciences",0.766,"$3,082","$3,000","$2,700","$3,500",NTU,2016,No,NTU GES 2016,History | NTU 2016
Linguistics & Multilingual Studies,"College of Humanities, Arts, & Social Sciences",0.618,"$3,368","$3,365","$2,960","$3,500",NTU,2016,No,NTU GES 2016,Linguistics & Multilingual Studies | NTU 2016
Psychology,"College of Humanities, Arts, & Social Sciences",0.667,"$3,136","$3,200","$2,800","$3,500",NTU,2016,No,NTU GES 2016,Psychology | NTU 2016
Public Policy & Global Affairs,"College of Humanities, Arts, & Social Sciences",0.000,$0,$0,$0,$0,NTU,2016,Suppressed,NTU GES 2016,Public Policy & Global Affairs | NTU 2016
Sociology,"College of Humanities, Arts, & Social Sciences",0.639,"$3,480","$3,500","$3,000","$3,850",NTU,2016,No,NTU GES 2016,Sociology | NTU 2016
Biomedical Sciences & Chinese Medicine,College of Science,0.889,"$2,577","$2,500","$2,150","$2,800",NTU,2016,No,NTU GES 2016,Biomedical Sciences & Chinese Medicine | NTU 2016
Biological Sciences,College of Science,0.640,"$3,222","$3,175","$3,000","$3,550",NTU,2016,No,NTU GES 2016,Biological Sciences | NTU 2016
Chemistry & Biological Chemistry,College of Science,0.642,"$3,234","$3,149","$2,925","$3,500",NTU,2016,No,NTU GES 2016,Chemistry & Biological Chemistry | NTU 2016
Mathematical Sciences,College of Science,0.769,"$3,535","$3,500","$3,200","$3,750",NTU,2016,No,NTU GES 2016,Mathematical Sciences | NTU 2016
Mathematics & Economics,College of Science,0.727,"$3,458","$3,300","$3,000","$3,750",NTU,2016,No,NTU GES 2016,Mathematics & Economics | NTU 2016
Physics & Applied Physics,College of Science,0.771,"$3,683","$3,450","$3,100","$4,000",NTU,2016,No,NTU GES 2016,Physics & Applied Physics | NTU 2016
Sports Science & Management,Sports Science & Management,0.661,"$3,272","$3,200","$2,825","$3,500",NTU,2016,No,NTU GES 2016,Sports Science & Management | NTU 2016
Arts (with Education),National Institute of Education (NIE),1.000,"$3,525","$3,525","$3,400","$3,615",NTU,2016,No,NTU GES 2016,Arts (with Education) | NTU 2016
Science (with Education),National Institute of Education (NIE),1.000,"$3,546","$3,525","$3,500","$3,850",NTU,2016,No,NTU GES 2016,Science (with Education) | NTU 2016
Bachelor of Arts,Faculty of Arts & Social Sciences,0.625,"$3,063","$3,000","$2,600","$3,200",NUS,2016,No,NUS GES 2016,Bachelor of Arts | NUS 2016
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.741,"$3,321","$3,500","$3,000","$3,600",NUS,2016,No,NUS GES 2016,Bachelor of Arts (Hons) | NUS 2016
Bachelor of Social Sciences,Faculty of Arts & Social Sciences,0.733,"$3,423","$3,300","$3,000","$3,650",NUS,2016,No,NUS GES 2016,Bachelor of Social Sciences | NUS 2016
Bachelor of Dental Surgery,Faculty of Dentistry,1.000,"$4,221","$4,050","$4,050","$4,450",NUS,2016,No,NUS GES 2016,Bachelor of Dental Surgery | NUS 2016
Bachelor of Engineering (Biomedical Engineering),Faculty of Engineering,0.806,"$3,366","$3,200","$3,000","$3,500",NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Biomedical Engineering) | NUS 2016
Bachelor of Engineering (Chemical Engineering),Faculty of Engineering,0.803,"$3,562","$3,450","$3,150","$4,000",NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Chemical Engineering) | NUS 2016
Bachelor of Engineering (Civil Engineering),Faculty of Engineering,0.919,"$3,509","$3,420","$3,200","$3,800",NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Civil Engineering) | NUS 2016
Bachelor of Engineering (Computer Engineering),Faculty of Engineering,0.859,"$3,942","$3,900","$3,467","$4,500",NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Computer Engineering) | NUS 2016
Bachelor of Engineering (Electrical Engineering),Faculty of Engineering,0.876,"$3,765","$3,500","$3,200","$4,200",NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Electrical Engineering) | NUS 2016
Bachelor of Engineering (Engineering Science),Faculty of Engineering,0.741,"$3,707","$3,740","$3,350","$4,026",NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Engineering Science) | NUS 2016
Bachelor of Engineering (Environmental Engineering),Faculty of Engineering,0.655,"$3,470","$3,350","$3,000","$3,832",NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Environmental Engineering) | NUS 2016
Bachelor of Engineering (Industrial & Systems Engineering),Faculty of Engineering,0.789,"$3,879","$3,500","$3,300","$4,250",NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2016
Bachelor of Engineering (Materials Science & Engineering),Faculty of Engineering,0.784,"$3,501","$3,540","$3,200","$3,900",NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Materials Science & Engineering) | NUS 2016
Bachelor of Engineering (Mechanical Engineering),Faculty of Engineering,0.810,"$3,560","$3,400","$3,150","$3,800",NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Mechanical Engineering) | NUS 2016
Bachelor of Laws,Faculty of Law,0.959,"$4,898","$4,900","$4,200","$5,600",NUS,2016,No,NUS GES 2016,Bachelor of Laws | NUS 2016
Bachelor of Applied Science,Faculty of Science,0.000,$0,$0,$0,$0,NUS,2016,Suppressed,NUS GES 2016,Bachelor of Applied Science | NUS 2016
Bachelor of Applied Science (Hons),Faculty of Science,0.619,"$3,058","$3,130","$2,800","$3,350",NUS,2016,No,NUS GES 2016,Bachelor of Applied Science (Hons) | NUS 2016
Bachelor of Science,Faculty of Science,0.594,"$2,995","$3,000","$2,600","$3,225",NUS,2016,No,NUS GES 2016,Bachelor of Science | NUS 2016
Bachelor of Science (Hons),Faculty of Science,0.717,"$3,386","$3,300","$3,000","$3,650",NUS,2016,No,NUS GES 2016,Bachelor of Science (Hons) | NUS 2016
Bachelor of Science (Computational Biology),Faculty of Science,0.000,$0,$0,$0,$0,NUS,2016,Suppressed,NUS GES 2016,Bachelor of Science (Computational Biology) | NUS 2016
Bachelor of Science (Pharmacy) (Hons),Faculty of Science,0.972,"$3,597","$3,600","$3,300","$3,950",NUS,2016,No,NUS GES 2016,Bachelor of Science (Pharmacy) (Hons) | NUS 2016
Bachelor of Business Administration,NUS Business School,0.807,"$3,282","$3,000","$2,837","$3,500",NUS,2016,No,NUS GES 2016,Bachelor of Business Administration | NUS 2016
Bachelor of Business Administration (Hons),NUS Business School,0.928,"$4,207","$3,620","$3,258","$4,500",NUS,2016,No,NUS GES 2016,Bachelor of Business Administration (Hons) | NUS 2016
Bachelor of Business Administration (Accountancy),NUS Business School,0.864,"$3,020","$2,963","$2,800","$3,100",NUS,2016,No,NUS GES 2016,Bachelor of Business Administration (Accountancy) | NUS 2016
Bachelor of Business Administration (Accountancy) (Hons),NUS Business School,0.990,"$3,465","$3,075","$2,900","$3,800",NUS,2016,No,NUS GES 2016,Bachelor of Business Administration (Accountancy) (Hons) | NUS 2016
Bachelor of Computing (Communications & Media),School of Computing,0.000,$0,$0,$0,$0,NUS,2016,Suppressed,NUS GES 2016,Bachelor of Computing (Communications & Media) | NUS 2016
Bachelor of Computing (Computer Science),School of Computing,0.933,"$4,385","$4,000","$3,500","$5,000",NUS,2016,No,NUS GES 2016,Bachelor of Computing (Computer Science) | NUS 2016
Bachelor of Computing (Electronic Commerce),School of Computing,0.000,$0,$0,$0,$0,NUS,2016,Suppressed,NUS GES 2016,Bachelor of Computing (Electronic Commerce) | NUS 2016
Bachelor of Computing (Information Systems),School of Computing,0.940,"$3,969","$4,000","$3,365","$4,500",NUS,2016,No,NUS GES 2016,Bachelor of Computing (Information Systems) | NUS 2016
Bachelor of Arts (Architecture),School of Design & Environment,0.898,"$3,960","$4,000","$3,500","$4,250",NUS,2016,No,NUS GES 2016,Bachelor of Arts (Architecture) | NUS 2016
Bachelor of Arts (Industrial Design),School of Design & Environment,0.656,"$3,320","$3,000","$2,900","$4,000",NUS,2016,No,NUS GES 2016,Bachelor of Arts (Industrial Design) | NUS 2016
Bachelor of Science (Project & Facilities Management),School of Design & Environment,0.847,"$3,113","$3,000","$2,850","$3,276",NUS,2016,No,NUS GES 2016,Bachelor of Science (Project & Facilities Management) | NUS 2016
Bachelor of Science (Real Estate),School of Design & Environment,0.924,"$3,368","$3,200","$2,950","$3,735",NUS,2016,No,NUS GES 2016,Bachelor of Science (Real Estate) | NUS 2016
Bachelor of Medicine & Bachelor of Surgery (MBBS),Yong Loo Lin School of Medicine,0.994,"$4,887","$5,000","$4,500","$5,200",NUS,2016,No,NUS GES 2016,Bachelor of Medicine & Bachelor of Surgery (MBBS) | NUS 2016
Bachelor of Science (Nursing),Yong Loo Lin School of Medicine,0.909,"$3,363","$3,400","$3,200","$3,425",NUS,2016,No,NUS GES 2016,Bachelor of Science (Nursing) | NUS 2016
Bachelor of Science (Nursing) (Hons),Yong Loo Lin School of Medicine,0.951,"$3,529","$3,500","$3,400","$3,600",NUS,2016,No,NUS GES 2016,Bachelor of Science (Nursing) (Hons) | NUS 2016
Bachelor of Music,Yong Siew Toh Conservatory of Music,0.143,"$3,250","$3,250","$2,999","$3,500",NUS,2016,No,NUS GES 2016,Bachelor of Music | NUS 2016
Bachelor of Environmental Studies,Multidisciplinary Programme,0.676,"$3,399","$3,300","$3,000","$3,500",NUS,2016,No,NUS GES 2016,Bachelor of Environmental Studies | NUS 2016
Bachelor of Arts in Game Design,DigiPen Institute of Technology,0.000,$0,$0,$0,$0,SIT,2015,Suppressed,SIT GES 2015,Bachelor of Arts in Game Design | SIT 2015
Bachelor of Fine Arts in Digital Arts & Animation,DigiPen Institute of Technology,0.654,"$2,682","$2,700","$2,500","$2,800",SIT,2015,No,SIT GES 2015,Bachelor of Fine Arts in Digital Arts & Animation | SIT 2015
Bachelor of Science in Computer Science & Game Design,DigiPen Institute of Technology,0.000,$0,$0,$0,$0,SIT,2015,Suppressed,SIT GES 2015,Bachelor of Science in Computer Science & Game Design | SIT 2015
Bachelor of Science in Computer Science in Real-Time Interactive Simulation,DigiPen Institute of Technology,0.905,"$3,346","$3,233","$3,000","$3,500",SIT,2015,No,SIT GES 2015,Bachelor of Science in Computer Science in Real-Time Interactive Simulation | SIT 2015
Bachelor of Arts with Honours in Communication Design,The Glasgow School of Art,0.543,"$2,922","$2,750","$2,523","$2,975",SIT,2015,No,SIT GES 2015,Bachelor of Arts with Honours in Communication Design | SIT 2015
Bachelor of Arts with Honours in Interior Design,The Glasgow School of Art,0.719,"$2,893","$2,700","$2,500","$3,025",SIT,2015,No,SIT GES 2015,Bachelor of Arts with Honours in Interior Design | SIT 2015
Bachelor of Engineering with Honours in Chemical Engineering,Newcastle University,0.726,"$3,405","$3,250","$2,900","$3,750",SIT,2015,No,SIT GES 2015,Bachelor of Engineering with Honours in Chemical Engineering | SIT 2015
Bachelor of Engineering with Honours in Electrical Power Engineering,Newcastle University,0.774,"$3,452","$3,300","$3,000","$3,550",SIT,2015,No,SIT GES 2015,Bachelor of Engineering with Honours in Electrical Power Engineering | SIT 2015
Bachelor of Engineering with Honours in Marine Engineering,Newcastle University,0.917,"$3,354","$3,225","$3,050","$3,500",SIT,2015,No,SIT GES 2015,Bachelor of Engineering with Honours in Marine Engineering | SIT 2015
Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,Newcastle University,0.833,"$3,266","$3,200","$3,000","$3,500",SIT,2015,No,SIT GES 2015,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering | SIT 2015
Bachelor of Engineering with Honours in Naval Architecture,Newcastle University,1.000,"$3,266","$3,141","$2,900","$3,500",SIT,2015,No,SIT GES 2015,Bachelor of Engineering with Honours in Naval Architecture | SIT 2015
Bachelor of Engineering with Honours in Offshore Engineering,Newcastle University,0.947,"$3,469","$3,350","$3,238","$3,575",SIT,2015,No,SIT GES 2015,Bachelor of Engineering with Honours in Offshore Engineering | SIT 2015
Bachelor of Science with Honours in Food & Human Nutrition,Newcastle University,0.811,"$2,876","$2,700","$2,475","$3,050",SIT,2015,No,SIT GES 2015,Bachelor of Science with Honours in Food & Human Nutrition | SIT 2015
Bachelor of Science in Chemical Engineering,Technische Universität München,0.792,"$2,970","$2,950","$2,800","$3,200",SIT,2015,No,SIT GES 2015,Bachelor of Science in Chemical Engineering | SIT 2015
Bachelor of Science in Electrical Engineering & Information Technology,Technische Universität München,0.900,"$3,339","$3,250","$3,000","$3,488",SIT,2015,No,SIT GES 2015,Bachelor of Science in Electrical Engineering & Information Technology | SIT 2015
Bachelor of Professional Studies in Culinary Arts Management,The Culinary Institute of America,0.815,"$2,586","$2,400","$2,000","$2,800",SIT,2015,No,SIT GES 2015,Bachelor of Professional Studies in Culinary Arts Management | SIT 2015
Bachelor in Science (Diagnostic Radiography),Trinity College Dublin,1.000,"$3,486","$3,488","$3,313","$3,650",SIT,2015,No,SIT GES 2015,Bachelor in Science (Diagnostic Radiography) | SIT 2015
Bachelor in Science (Occupational Therapy),Trinity College Dublin,1.000,"$3,149","$3,125","$3,000","$3,225",SIT,2015,No,SIT GES 2015,Bachelor in Science (Occupational Therapy) | SIT 2015
